symbol,index,announcement_date,ruleType,summary,url
TRALT,1515783,2025-11-11 18:10:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515783
TRALT,1476236,2025-08-11 19:42:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1476236
TRALT,1441174,2025-05-22 18:11:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1441174
TRALT,1407071,2025-03-14 18:58:30,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1407071
TRALT,1359673,2024-11-21 18:11:23,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1359673
TRALT,1336616,2024-09-20 19:51:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1336616
TRALT,1310500,2024-07-09 18:10:50,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1310500
TRALT,1284445,2024-05-09 20:14:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1284445
TRALT,1211643,2023-10-30 18:11:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211643
TRALT,1182946,2023-08-09 18:17:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182946
TRALT,1144922,2023-05-02 18:14:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144922
TRALT,1118776,2023-03-01 21:41:22,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118776
TRALT,1075427,2022-10-31 18:15:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075427
TRALT,1054849,2022-08-11 20:33:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054849
TRALT,1053804,2022-08-09 20:08:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053804
TRALT,1025819,2022-04-29 18:21:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025819
TRALT,1005882,2022-03-01 18:11:56,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005882
TRALT,973507,2021-11-01 18:11:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973507
TRALT,956151,2021-08-09 18:12:24,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956151
TRALT,932511,2021-04-29 18:13:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932511
TRALT,914135,2021-03-01 18:48:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914135
TRALT,887493,2020-11-09 19:22:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887493
TRALT,866236,2020-08-06 21:56:15,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866236
TRALT,847536,2020-05-28 22:57:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847536
TRALT,822225,2020-02-27 19:50:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822225
