symbol,split_date,split_factor,cumulative_split_factor
HLGYO,2020-06-29,1.0,1.0
HLGYO,2020-08-27,1.0452585990636152,1.0452585990636152
HLGYO,2021-04-07,1.0,1.0452585990636152
HLGYO,2021-06-01,1.0515463917525774,1.0991379082936985
HLGYO,2022-03-02,1.5,1.6487068624405476
HLGYO,2022-04-05,1.0,1.6487068624405476
HLGYO,2022-05-30,1.026143790849673,1.691810309824614
HLGYO,2023-08-11,1.0,1.691810309824614
HLGYO,2023-09-19,1.0477707006369428,1.772629273669739
HLGYO,2024-01-02,1.911854103343465,3.3890085505722367
HLGYO,2024-07-19,1.0,3.3890085505722367
HLGYO,2024-09-04,1.1701112877583466,3.9655171593341274
HLGYO,2025-06-18,1.0,3.9655171593341274
HLGYO,2025-09-18,1.0434782608695652,4.137930948870394
