Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
ENKAI,08.10.2025,"1,20","0,8333","83,33","70,83",5.000.000.000,16
ENKAI,11.06.2025,"0,50","0,3167","31,67","26,92",1.900.000.000,6
ENKAI,16.04.2025,"3,13","2,0000","200,00","170,00",12.000.000.000,39
ENKAI,14.05.2024,"3,24","1,2500","125,00","114,62",7.500.000.000,44
ENKAI,03.01.2024,"1,47","0,5000","50,00","45,00",3.000.000.000,18
ENKAI,12.04.2023,"1,13","0,3633","36,33","33,24",2.180.000.000,111
ENKAI,13.04.2022,"3,07","0,5000","50,00","45,00",2.800.000.000,54
ENKAI,05.01.2022,"1,28","0,2000","20,00","18,00",1.120.000.000,22
ENKAI,13.04.2021,"4,45","0,3571","35,71","30,36",2.000.000.000,44
ENKAI,14.04.2020,"2,62","0,1800","18,00","16,41",900.000.000,23
