Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
HALKB,15.08.2018,"2,45","0,1490","14,90","12,67",186.273.000,5
HALKB,12.06.2017,"1,55","0,2047","20,47","17,40",255.826.500,10
HALKB,04.04.2016,"1,81","0,1852","18,52","15,74",231.531.250,10
HALKB,07.04.2015,"1,30","0,1765","17,65","15,00",220.576.750,10
HALKB,07.04.2014,"1,58","0,2201","22,01","18,71",275.084.375,10
HALKB,10.04.2013,"2,01","0,3692","36,92","31,38",461.474.000,18
HALKB,23.05.2012,"2,06","0,2454","24,54","20,86",306.770.085,15
HALKB,27.05.2011,"2,69","0,3164","31,64","26,89",395.485.955,20
HALKB,27.05.2010,"2,28","0,2351","23,51","19,98",293.820.589,18
HALKB,22.05.2009,"3,31","0,2037","20,37","17,31",254.578.646,25
HALKB,23.05.2008,"9,36","0,6786","67,86","57,68",848.279.550,75
